Package Name,Version
consoleet-kbd-fonts,1.3
consoleet-oldschoolpc-fonts,2.2.1
consoleet-utils,1.7
consoleet-xorg-fonts,7.6.1
container-build-checks,1723452932.412e7f6
container-selinux,2.245.0
container-suseconnect,2.5.6
containerd,1.7.29
containerized-data-importer,1.64.0
containment-rpm,2.0.2
contrast,0.0.11
converseen,0.9.11.1
cookiecutter,2.6.0
cool-retro-term,1.2.0
coolkey,1.1.0
coppwr,1.6.0
coreboot-utils,4.22.01
coredns,1.14.2
coredns-for-k8s1.30,1.11.3
coredns-for-k8s1.31,1.11.3
coreutils,9.6
coreutils-single,9.6
coreutils-systemd,9.6
coreutils-testsuite,9.6
corosync,3.1.10
corosync-qdevice,3.0.4
corrosion,0.5.1
cosign,3.0.5
coturn,4.6.2
courier-authlib,0.72.3
courier-imap,5.2.10
courier-unicode,2.3.1
cowsay,3.7.0
cowsql,1.15.6
cozette-fonts,1.23.1
cpanspec,1.84.00.1688930749.8cd1dcd
cpio,2.15
cpp-httplib,0.28.0
cppcheck,2.17.1
cpphs,1.20.9.1
cppreference-doc,20250209
cppunit,1.15.1
cpu-x,5.0.4
cpufetch,1.06
cpuid,20240716
cpuinfo,0~git1720582619.ca67895
cpulimit,3.1
cpupower,6.12.0
cpuset,1.6.2
cracklib,2.9.11
cracklib-dict-full,2.8.12
cramfs-tools,2.1
crash,9.0.0
crash-trace,3.0
crazydiskinfo,1.1.0
crc32csum,0.1.0~0
createrepo_c,1.1.0
crispy-doom,7.0
criterion,2.4.2
criu,4.1
crmsh,5.0.0+20260309.5a3c6578
cronie,1.7.2
cross-aarch64-binutils,2.45
cross-aarch64-gcc13,13.4.0+git9739
cross-aarch64-gcc13-bootstrap,13.4.0+git9739
cross-aarch64-gcc15,15.2.0+git10201
cross-aarch64-gcc15-bootstrap,15.2.0+git10201
cross-amdgcn-gcc13,13.4.0+git9739
cross-amdgcn-gcc15,15.2.0+git10201
cross-arm-binutils,2.45
cross-arm-gcc13,13.4.0+git9739
cross-arm-gcc15,15.2.0+git10201
cross-arm-none-gcc13-bootstrap,13.4.0+git9739
cross-arm-none-gcc15-bootstrap,15.2.0+git10201
cross-avr-binutils,2.45
cross-avr-gcc13-bootstrap,13.4.0+git9739
cross-avr-gcc15-bootstrap,15.2.0+git10201
cross-bpf-binutils,2.45
cross-bpf-gcc13,13.4.0+git9739
cross-bpf-gcc15,15.2.0+git10201
cross-epiphany-binutils,2.45
cross-hppa-binutils,2.45
cross-hppa-gcc13-bootstrap,13.4.0+git9739
cross-hppa-gcc15-bootstrap,15.2.0+git10201
cross-hppa64-binutils,2.45
cross-i386-binutils,2.45
cross-ia64-binutils,2.45
cross-loongarch64-binutils,2.45
cross-m68k-binutils,2.45
cross-mips-binutils,2.45
cross-nvptx-gcc13,13.4.0+git9739
cross-nvptx-gcc15,15.2.0+git10201
cross-ppc-binutils,2.45
cross-ppc64-binutils,2.45
cross-ppc64-gcc13,13.4.0+git9739
cross-ppc64-gcc15,15.2.0+git10201
cross-ppc64le-binutils,2.45
cross-ppc64le-gcc13-bootstrap,13.4.0+git9739
cross-ppc64le-gcc15,15.2.0+git10201
cross-ppc64le-gcc15-bootstrap,15.2.0+git10201
cross-pru-binutils,2.45
